Time,Weather
00:00.1,Snow
00:33.0,Rain
00:40.1,Wind
01:21.1,Normal
01:35.0,Snow
01:36.0,Rain
01:45.0,Wind
01:58.0,Normal
01:59.0,Snow
02:06.0,Rain
02:07.0,Wind
02:10.0,Normal
02:13.0,Snow
02:13.1,Rain
02:21.1,Wind
02:36.1,Normal
02:45.1,Snow
02:46.0,Rain
02:53.0,Wind
02:53.0,Normal
02:53.0,Snow
02:57.0,Rain
02:57.0,Wind
02:58.1,Normal
03:00.1,Snow
03:13.0,Rain
03:13.0,Wind
03:18.0,Normal
03:18.1,Snow
03:20.1,Rain
03:24.1,Wind
03:27.0,Normal
03:32.0,Snow
03:38.0,Rain
03:40.0,Wind
03:53.0,Normal
03:56.0,Snow
04:00.0,Rain
04:01.1,Wind
04:03.0,Normal
04:04.0,Snow
04:14.0,Rain
04:25.1,Snow
04:27.0,Rain
04:28.0,Wind
04:29.1,Normal
04:35.1,Snow
04:37.0,Rain
04:48.0,Wind
04:48.1,Normal
04:50.1,Snow
04:52.1,Rain
04:54.1,Wind
04:56.1,Normal
04:57.0,Snow
04:59.0,Rain
05:28.0,Wind
05:30.1,Normal
05:35.1,Snow
05:37.0,Rain
05:44.1,Wind
05:46.0,Normal
05:48.0,Snow
05:52.0,Rain
05:58.1,Wind
06:02.1,Normal
06:05.1,Snow
06:19.1,Rain
06:28.0,Wind
06:37.0,Normal
06:46.1,Snow
07:23.0,Rain
07:25.0,Wind
07:26.0,Normal
07:38.1,Snow
07:54.1,Rain
08:18.1,Wind
08:23.0,Normal
08:24.1,Snow
08:33.1,Rain
08:38.1,Wind
08:45.1,Normal
08:46.1,Snow
08:47.1,Rain
08:48.0,Snow
08:57.0,Rain
09:28.0,Wind
09:34.0,Normal
09:48.0,Snow
09:57.1,Rain
09:58.0,Wind
10:02.0,Normal
10:05.0,Snow
10:07.0,Rain
10:09.0,Wind
10:11.0,Normal
10:13.0,Snow
10:14.0,Rain
10:15.0,Wind
10:17.0,Normal
10:17.0,Snow
10:21.0,Rain
10:26.1,Wind
10:45.1,Normal
10:46.0,Snow
10:50.0,Rain
10:51.1,Wind
10:52.0,Normal
10:54.0,Snow
10:56.0,Rain
11:00.1,Wind
11:03.1,Normal
11:06.1,Snow
11:17.0,Rain
11:19.1,Wind
11:23.1,Normal
11:25.0,Snow
11:25.0,Rain
11:27.0,Wind
11:27.1,Normal
11:28.0,Snow
11:37.0,Rain
12:15.0,Wind
12:19.1,Normal
12:25.0,Snow
12:44.0,Rain
12:45.0,Snow
12:47.1,Rain
12:47.1,Wind
12:59.0,Normal
13:15.1,Snow
13:18.0,Rain
13:23.0,Wind
13:23.1,Normal
13:24.0,Snow
13:44.1,Rain
13:53.1,Wind
14:00.0,Normal
14:02.1,Snow
14:07.0,Rain
14:09.1,Wind
14:13.0,Normal
14:17.1,Snow
14:26.0,Rain
14:32.0,Wind
14:49.0,Normal
15:22.0,Snow
15:22.1,Rain
15:24.0,Wind
15:24.1,Normal
15:24.1,Snow
15:26.0,Rain
15:27.0,Wind
15:29.0,Normal
15:40.0,Snow
15:42.0,Rain
15:51.0,Wind
15:52.0,Normal
16:07.0,Snow
16:23.1,Rain
16:44.1,Wind
16:45.0,Normal
16:46.0,Snow
16:50.1,Rain
16:51.0,Wind
17:05.1,Normal
17:23.1,Snow
17:28.0,Rain
17:35.0,Snow
17:44.0,Rain
17:56.0,Wind
18:01.0,Normal
18:03.1,Snow
18:11.1,Rain
18:50.0,Wind
19:16.0,Normal
19:20.1,Snow
19:30.1,Rain
19:33.1,Wind
19:44.1,Normal
19:51.0,Snow
19:53.0,Rain
19:54.1,Wind
19:55.1,Normal
20:11.1,Snow
20:23.0,Rain
20:35.0,Wind
20:41.0,Normal
20:43.0,Snow
20:48.1,Rain
20:54.0,Wind
21:00.0,Normal
21:13.1,Snow
21:23.0,Rain
21:29.0,Wind
21:33.0,Normal
21:34.0,Snow
21:58.1,Rain
22:02.0,Wind
22:08.1,Normal
22:11.0,Snow
22:11.0,Rain
22:13.0,Wind
22:15.0,Normal
22:18.0,Snow
22:41.1,Rain
22:58.0,Wind
22:59.1,Normal
23:06.0,Snow
23:10.0,Rain
23:20.0,Snow
23:22.0,Rain
23:24.0,Wind
23:38.0,Normal
23:41.0,Snow
23:42.0,Rain
23:44.0,Wind
23:46.1,Normal
23:48.0,Snow
23:49.1,Rain
23:53.0,Wind
24:00.1,Normal
24:07.0,Snow
24:13.1,Rain
24:34.1,Wind
24:46.0,Normal
24:47.1,Snow
24:49.1,Rain
24:56.0,Wind
25:03.1,Normal
25:28.0,Snow
25:42.1,Rain
25:55.1,Wind
25:56.1,Normal
25:58.1,Snow
26:04.0,Rain
26:15.1,Wind
26:42.1,Normal
27:13.1,Snow
27:16.1,Rain
27:28.1,Wind
27:30.1,Normal
27:37.1,Snow
27:46.0,Rain
28:05.0,Wind
28:17.1,Normal
28:21.1,Snow
28:42.0,Rain
28:43.0,Wind
28:45.0,Normal
28:46.0,Snow
28:49.1,Rain
28:51.1,Snow
28:54.0,Rain
28:55.1,Wind
29:10.0,Normal
29:12.0,Snow
29:12.0,Rain
29:29.0,Wind
30:01.0,Normal
30:02.1,Snow
30:03.0,Rain
30:07.0,Wind
30:12.0,Normal
30:58.0,Snow
31:00.0,Rain
31:10.0,Wind
31:21.1,Normal
31:22.0,Snow
31:25.0,Rain
31:26.0,Wind
31:27.1,Normal
31:29.0,Snow
31:31.0,Rain
31:43.0,Wind
31:48.1,Normal
32:14.0,Snow
32:17.1,Rain
32:17.1,Wind
32:21.0,Normal
32:31.0,Snow
